product_name,product_company,product_price,product_link
Logitech G213 Prodigy RGB Gaming Keyboard $26 + Free Shipping,Amazon,$25.98,https://slickdeals.net/f/16332217-logitech-g213-prodigy-rgb-gaming-keyboard-26-free-shipping
32GB (2x 16) Team T-Force Vulcan DDR5 5600 Desktop RAM kit $135,Newegg,$135,https://slickdeals.net/f/16333939-32gb-2x-16-team-t-force-vulcan-ddr5-5600-desktop-ram-kit-135
1TB Nextorage Japan NVMe Gen4 SSD + $5 GC $85,Newegg,$85,https://slickdeals.net/f/16333936-1tb-nextorage-japan-nvme-gen4-ssd-5-gc-85
"AMD Ryzen™ 5 4600G, 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler $99",Newegg,$99,https://slickdeals.net/f/16333930-amd-ryzen-5-4600g-6-core-12-thread-unlocked-desktop-processor-with-wraith-stealth-cooler-99
"64GB Apple iPad Air 10.9"" Wi-Fi Tablet (Purple, 5th Gen, Latest Model) - $499.99 + F/S - Amazon",Amazon,$499.99,https://slickdeals.net/f/16333927-64gb-apple-ipad-air-10-9-wi-fi-tablet-purple-5th-gen-latest-model-499-99-f-s-amazon
"Amazon Basics CL3 Rated High-Speed HDMI Cable (18 Gbps, 4K/60Hz) - 3 Feet, White",Amazon,,https://slickdeals.net/f/16333855-amazon-basics-cl3-rated-high-speed-hdmi-cable-18-gbps-4k-60hz-3-feet-white
"Logitech G840 XL Cloth Gaming Mouse Pad - 0.12 in Thin, Stable Rubber Base, Performance-Tuned Surface, Official League of Legends Edition - $19.99",Amazon,$19.99,https://slickdeals.net/f/16333858-logitech-g840-xl-cloth-gaming-mouse-pad-0-12-in-thin-stable-rubber-base-performance-tuned-surface-official-league-of-legends-edition-19-99
"ASUS TUF F15: 15.6"" FHD IPS 144Hz, i5-11400H, RTX 3050, 8GB DDR4, 512GB SSD $599.99",Best Buy,$599.99,https://slickdeals.net/f/16333819-asus-tuf-f15-15-6-fhd-ips-144hz-i5-11400h-rtx-3050-8gb-ddr4-512gb-ssd-599-99
GIGABYTE 6750xt $380 after $50 coupon and $20 MIR  NEWEGG/FS $379.99,Newegg (Canada),$379.99,https://slickdeals.net/f/16333045-gigabyte-6750xt-380-after-50-coupon-and-20-mir-newegg-fs-379-99
"38"" LG 38WN95C-W 3840x1600 144Hz 1ms IPS FreeSync UltraWide Curved Monitor - $1016.95 + F/S - Amazon",Amazon,"$1,016.95",https://slickdeals.net/f/16333435-38-lg-38wn95c-w-3840x1600-144hz-1ms-ips-freesync-ultrawide-curved-monitor-1016-95-f-s-amazon
Logitech M325 Mouse w/ USB Receiver (Various Colors) $13 + Free Shipping,Lenovo,$13,https://slickdeals.net/f/16333141-logitech-m325-mouse-w-usb-receiver-various-colors-13-free-shipping
5-Pack Amazon Basics USB 3.1 Type-C to 4 Port USB Adapter Hub $20.90 + Free Shipping w/ Prime or on $25+,Amazon,$20.90,https://slickdeals.net/f/16332406-5-pack-amazon-basics-usb-3-1-type-c-to-4-port-usb-adapter-hub-20-90-free-shipping-w-prime-or-on-25
"Lenovo Yoga 7i: 16"" 2.5K IPS Touch, Intel Evo i7-1260P, 16GB DDR5, 512GB SSD $799.99",Best Buy,$799.99,https://slickdeals.net/f/16333405-lenovo-yoga-7i-16-2-5k-ips-touch-intel-evo-i7-1260p-16gb-ddr5-512gb-ssd-799-99
"27"" Nitro XV2 Gaming Monitor - XV272U RVbmiiprx $269.99",Acer,$269.99,https://slickdeals.net/f/16332385-27-nitro-xv2-gaming-monitor-xv272u-rvbmiiprx-269-99
"Battlefield Bundle (BF4 Premium Ed, BF5 Definitive Ed, BF1 Revolution Ed) $13.11",Steam,$13.11,https://slickdeals.net/f/16332376-battlefield-bundle-bf4-premium-ed-bf5-definitive-ed-bf1-revolution-ed-13-11
"HP Spectre X360 13.5"" - i7 12th Gen - 3K2K OLED - $1250+CB $1249.99",HP,"$1,249.99",https://slickdeals.net/f/16332595-hp-spectre-x360-13-5-i7-12th-gen-3k2k-oled-1250-cb-1249-99
Much awaited Costco TurboTax $11-$30 off with $10 credit in product Deluxe with state net $35,Costco Wholesale,$44.99,https://slickdeals.net/f/16329946-much-awaited-costco-turbotax-11-30-off-with-10-credit-in-product-deluxe-with-state-net-35
Amazon Basics Mini DisplayPort Thunderbolt to HDMI Adapter $2.38 w/ S&S + Free Shipping w/ Prime or on $25+,Amazon,$2.38,https://slickdeals.net/f/16331758-amazon-basics-mini-displayport-thunderbolt-to-hdmi-adapter-2-38-w-s-s-free-shipping-w-prime-or-on-25
"Apple MacBook Pro 14"" M1 Pro Chip with 10-Core CPU and 16-Core GPU, 16GB Memory, 1TB SSD, Silver $1949",Adorama,"$1,949",https://slickdeals.net/f/16333003-apple-macbook-pro-14-m1-pro-chip-with-10-core-cpu-and-16-core-gpu-16gb-memory-1tb-ssd-silver-1949
"Lenovo IdeaPad Slim 9i Laptop: Intel Core i7-1195G7, 14"" 4K IPS Touchscreen, 16GB DDR4, 512GB SSD, Win 11 (Refurbished) $551.65 + Free Shipping @ eBay",eBay,$551.65,https://slickdeals.net/f/16332964-lenovo-ideapad-slim-9i-laptop-intel-core-i7-1195g7-14-4k-ips-touchscreen-16gb-ddr4-512gb-ssd-win-11-refurbished-551-65-free-shipping-ebay
"Dell Inspiron Laptop: Ryzen 7 5825U, 15.6"" FHD Touchscreen, 16GB DDR4, 512GB SSD, MX550, Win 10 (Refurbished) $466.65 + Free Shipping @ eBay",eBay,$466.65,https://slickdeals.net/f/16332967-dell-inspiron-laptop-ryzen-7-5825u-15-6-fhd-touchscreen-16gb-ddr4-512gb-ssd-mx550-win-10-refurbished-466-65-free-shipping-ebay
Samson SR850B Semi-Open Studio Headphones (Blue) $25 + Free Shipping $24.99,B&H Photo Video,$24.99,https://slickdeals.net/f/16332949-samson-sr850b-semi-open-studio-headphones-blue-25-free-shipping-24-99
KASPERSKY PREMIUM 5 Devices + Safe Kids $20 $20.69,Kaspersky Lab,$20.69,https://slickdeals.net/f/16332919-kaspersky-premium-5-devices-safe-kids-20-20-69
JBL Quantum 400 Wired Gaming Headset w/ USB & 3.5mm Jack $49.95 + Free Shipping,,$49.95,https://slickdeals.net/f/16332772-jbl-quantum-400-wired-gaming-headset-w-usb-3-5mm-jack-49-95-free-shipping
Acer Nitro XV242Y 165 Hz FHD Gaming Monitor  $114.99 at B&H Photo  free s/h,B&H Photo Video,$114.99,https://slickdeals.net/f/16332718-acer-nitro-xv242y-165-hz-fhd-gaming-monitor-114-99-at-b-h-photo-free-s-h
Logitech MX Anywhere 2S Wireless Mouse (Graphite),Lenovo,$35,https://slickdeals.net/f/16329682-logitech-mx-anywhere-2s-wireless-mouse-graphite-35-free-s-h
"Acer Swift X (Cert. Refurb): 14"" FHD IPS, Ryzen 7 5800U, RTX 3050 Ti, 16GB DDR4, 512GB SSD, Gold $615.99",eBay,$615.99,https://slickdeals.net/f/16330210-acer-swift-x-cert-refurb-14-fhd-ips-ryzen-7-5800u-rtx-3050-ti-16gb-ddr4-512gb-ssd-gold-615-99
Amazon Basics 5-Button 2.4GHz Wireless Mouse - Pineapple Pattern $4.95 - Free Shipping w/Prime,Amazon,$4.95,https://slickdeals.net/f/16332211-amazon-basics-5-button-2-4ghz-wireless-mouse-pineapple-pattern-4-95-free-shipping-w-prime
Bitdefender Total Security 2023 - 5 Devices / 1 Year - Download $19.99,Newegg,$19.99,https://slickdeals.net/f/16332070-bitdefender-total-security-2023-5-devices-1-year-download-19-99
"Lenovo IdeaPad 5 (2022): 15.6"" FHD IPS Touch, Ryzen 5 5625U, 16GB DDR4, 512GB SSD $507.59",eBay,$507.59,https://slickdeals.net/f/16329985-lenovo-ideapad-5-2022-15-6-fhd-ips-touch-ryzen-5-5625u-16gb-ddr4-512gb-ssd-507-59
"HP Pavilion 14-ec1097nr Laptop: 14"" FHD IPS, Ryzen 7 5825U, 16GB DDR4, 256GB PCIe SSD, Win11H @ $549.99 / $508.49 with EPP + F/S",HP,$508.49,https://slickdeals.net/f/16330288-hp-pavilion-14-ec1097nr-laptop-14-fhd-ips-ryzen-7-5825u-16gb-ddr4-256gb-pcie-ssd-win11h-549-99-508-49-with-epp-f-s
BJs Wholesale: iPad 10th gen 64gb Blue $263.99 (YMMV B&M),BJs Wholesale,$263.99,https://slickdeals.net/f/16331836-bjs-wholesale-ipad-10th-gen-64gb-blue-263-99-ymmv-b-m
"32"" Samsung M80B 4K UHD Smart Monitor w/ Streaming TV & Slimfit Camera",Samsung,$400,https://slickdeals.net/f/16329469-32-samsung-m80b-4k-smart-monitor-with-streaming-tv-slimfit-camera-various-colors-400-free-shipping
HYTE Revolt 3 ITX Computer Case (White),Adorama,$80,https://slickdeals.net/f/16328914-hyte-revolt-3-sff-itx-case-80-free-s-h-at-adorama
16TB WD Elements Desktop External Hard Drive $240,Newegg,$240,https://slickdeals.net/f/16330348-16tb-wd-elements-desktop-external-hard-drive-240
"ASUS - Vivobook 14"" Laptop - AMD Ryzen 3 3250 - 8GB Memory - 128GB PCIE SSD - Slate Grey $229.99",Best Buy,$229.99,https://slickdeals.net/f/16330330-asus-vivobook-14-laptop-amd-ryzen-3-3250-8gb-memory-128gb-pcie-ssd-slate-grey-229-99
"Lenovo ThinkBook 15 G3 ACL 15.6"" Notebook AMD Ryzen 7-5700U 16GB RAM 512GB SSD - $520",eBay,$519.99,https://slickdeals.net/f/16330576-lenovo-thinkbook-15-g3-acl-15-6-notebook-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-520
TP-Link AX6600 Tri-Band WiFi 6 Router (Archer AX90) - $149.99 + F/S - Amazon,Amazon,$149.99,https://slickdeals.net/f/16330738-tp-link-ax6600-tri-band-wifi-6-router-archer-ax90-149-99-f-s-amazon
Prime Members: 1TB SK hynix Platinum P41 PCIe NVMe Gen4 M.2 2280 Internal SSD,Amazon,$105,https://slickdeals.net/f/16327897-prime-members-sk-hynix-platinum-p41-1tb-pcie-nvme-gen4-m-2-2280-ssd-l-up-to-7-000mb-s-l-compact-m-2-ssd-internal-solid-state-drive-with-176-layer-nand-flash-104-99
Gigabyte Z690 GAMING X DDR4 Gaming Desktop Motherboard,eBay,$160,https://slickdeals.net/f/16328266-gigabyte-z690-gaming-x-lga-1700-ddr4-gaming-desktop-motherboard-fs-159-99
32GB (2x 16) CORSAIR Vengeance DDR5 6000 Desktop Memory Kit $165,Newegg,$165,https://slickdeals.net/f/16330393-32gb-2x-16-corsair-vengeance-ddr5-6000-desktop-memory-kit-165
"IKEA SYMFONISK (Sonos) WiFi Bookshelf Speaker (White or Black, Smart/Gen2)",IKEA,$100,https://slickdeals.net/f/16327552-symfonisk-wifi-sonos-bookshelf-speaker-white-or-black-95
NordVPN $0-$10 after cashback deal still available [CONFIRMED WORKING],NordVPN,,https://slickdeals.net/f/16327753-nordvpn-0-10-after-cashback-deal-still-available-confirmed-working
"ASUS VivoBook Flip 14 Thin & Light 2-in-1 Laptop, 14"" Screen, Intel Core i3, 8GB Memory, 256GB Solid State Drive, Windows 11 in S Mode, Indie Black $379.99",Office Depot and OfficeMax,$379.99,https://slickdeals.net/f/16330279-asus-vivobook-flip-14-thin-light-2-in-1-laptop-14-screen-intel-core-i3-8gb-memory-256gb-solid-state-drive-windows-11-in-s-mode-indie-black-379-99
$599.99 - Canon MAXIFY GX7021 Wireless MegaTank Small Office All-in-One Printer,Amazon,$599.99,https://slickdeals.net/f/16330240-599-99-canon-maxify-gx7021-wireless-megatank-small-office-all-in-one-printer
"CyberpowerPC Pre-built, 3080 10GB, i5-13600KF, 240mm AIO, 32GB DDR5 6000mhz RAM, 1TB Gen4 NVME $1611.2",CyberPower,"$1,611.20",https://slickdeals.net/f/16329844-cyberpowerpc-pre-built-3080-10gb-i5-13600kf-240mm-aio-32gb-ddr5-6000mhz-ram-1tb-gen4-nvme-1611-2
"1TB SanDisk SSD Plus SATA III 2.5"" Internal SSD $59 + Free Shipping at Amazon",Amazon,$58.99,https://slickdeals.net/f/16328992-1tb-sandisk-ssd-plus-sata-iii-2-5-internal-ssd-59-free-shipping-at-amazon
"HP - Pavilion x360 2-in-1 14""  Laptop - i5 - 8GB / 512GB open box from $340",Best Buy,$340,https://slickdeals.net/f/16329724-hp-pavilion-x360-2-in-1-14-laptop-i5-8gb-512gb-open-box-from-340
"Lenovo IdeaPad Slim 9 (Cert. Refurb): 14"" UHD IPS Touch, i7-1195G7, 16GB LPDDR4x, 512GB SSD $649",eBay,$649,https://slickdeals.net/f/16330003-lenovo-ideapad-slim-9-cert-refurb-14-uhd-ips-touch-i7-1195g7-16gb-lpddr4x-512gb-ssd-649
"GIGABYTE AERO 16 XE5 - 16"" 4K/UHD+ Samsung AMOLED - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6 - 16GB DDR5 RAM - 1TB SSD - $1229",Newegg,"$1,229",https://slickdeals.net/f/16329979-gigabyte-aero-16-xe5-16-4k-uhd-samsung-amoled-intel-core-i7-12700h-nvidia-geforce-rtx-3070-ti-laptop-gpu-8gb-gddr6-16gb-ddr5-ram-1tb-ssd-1229
NZXT N5 Z690 Socket LGA 1200 USB 3.2 Intel ATX Gaming Motherboard $140 + Free Shipping,Amazon,$139.99,https://slickdeals.net/f/16327729-nzxt-n5-z690-socket-lga-1200-usb-3-2-intel-atx-gaming-motherboard-140-free-shipping
"LG 24MK600M-B 24'' 1920 x 1080 IPS, FreeSync, Dual HDMI, Black - $109.99",Amazon,$109.99,https://slickdeals.net/f/16329880-lg-24mk600m-b-24-1920-x-1080-ips-freesync-dual-hdmi-black-109-99
"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - Condition: 10 Good as new Preowned equipment that looks good as new; no signs of wear $399.95",B&H Photo Video,$399.95,https://slickdeals.net/f/16329793-microsoft-surface-laptop-3-13-5-touch-screen-intel-core-i5-8gb-memory-condition-10-good-as-new-preowned-equipment-that-looks-good-as-new-no-signs-of-wear-399-95
"1TB Team Group CX2 2.5"" Solid State Drive + Team 16GB USB 2.0 Flash Drive",Newegg,$45,https://slickdeals.net/f/16327429-1tb-team-group-cx2-2-5-solid-state-drive-team-16gb-flash-drive-45
Microsoft - Surface Laptop 5 – 13.5” Touch Screen – Intel Evo Platform Core i7 – 16GB Memory – 512GB SSD (Latest Model) - Sandstone $1299.99,Best Buy,"$1,299.99",https://slickdeals.net/f/16329754-microsoft-surface-laptop-5-13-5-touch-screen-intel-evo-platform-core-i7-16gb-memory-512gb-ssd-latest-model-sandstone-1299-99
Vertiv Liebert PSA5 UPS - 1000VA / 600W Back UPS - $99.99,TigerDirect,$99.99,https://slickdeals.net/f/16329760-vertiv-liebert-psa5-ups-1000va-600w-back-ups-99-99
"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 (12th Gen) - 8GB Memory - 512GB SSD $499 + Free Shipping @BestBuy",Best Buy,$499,https://slickdeals.net/f/16329730-hp-pavilion-x360-2-in-1-14-touch-screen-laptop-intel-core-i5-12th-gen-8gb-memory-512gb-ssd-499-free-shipping-bestbuy
"Razer - Book 13.4"" UHD Touch Screen Laptop - Intel Evo Platform - Intel Core i7 - 16GB Memory - 1TB SSD - Mercury $1149.99",Best Buy,"$1,149.99",https://slickdeals.net/f/16329715-razer-book-13-4-uhd-touch-screen-laptop-intel-evo-platform-intel-core-i7-16gb-memory-1tb-ssd-mercury-1149-99
ASUS ROG Rapture Dual-Band Wireless Gigabit Wi-Fi Gaming Router (GT-AC2900) - $89.99 + F/S - Amazon,Amazon,$89.99,https://slickdeals.net/f/16328437-asus-rog-rapture-dual-band-wireless-gigabit-wi-fi-gaming-router-gt-ac2900-89-99-f-s-amazon
32GB (2x16GB) Corsair Vengeance RGB Pro SL 3600MHz DDR4 Desktop Memory (White) $106.72 + Free S&H,Amazon,$106.72,https://slickdeals.net/f/16329514-32gb-2x16gb-corsair-vengeance-rgb-pro-sl-3600mhz-ddr4-desktop-memory-white-106-72-free-s-h
App exclusive: Gryphon Tower (1-Pack) Adv Security Mesh WiFi Router - $79.99 - Free shipping for Prime members - $80,Woot!,$80,https://slickdeals.net/f/16329406-app-exclusive-gryphon-tower-1-pack-adv-security-mesh-wifi-router-79-99-free-shipping-for-prime-members-80
"32"" MSI 2560x1440 165Hz FreeSync Curved VA Gaming Monitor (G32CQ4) - $239.00 + F/S - Amazon",Amazon,$239,https://slickdeals.net/f/16327456-32-msi-2560x1440-165hz-freesync-curved-va-gaming-monitor-g32cq4-239-00-f-s-amazon
AMD RYZEN 7 5800X3D $319 instore 12/20-12/22,Micro Center,$319,https://slickdeals.net/f/16329184-amd-ryzen-7-5800x3d-319-instore-12-20-12-22
NZXT Lift - MS-1WRAX-WM - PC Gaming Mouse RGB Lighting (White or Black) $29.99,Amazon,$29.99,https://slickdeals.net/f/16328941-nzxt-lift-ms-1wrax-wm-pc-gaming-mouse-rgb-lighting-white-or-black-29-99
